ID,NOM,LATITUDE,LONGITUDE
8871308,"Luttre",50.50586,4.38412
8871332,"Obaix-Buzet",50.53521,4.36357
8871365,"Pont-à-Celles",50.51381,4.355296
8871373,"Gouy-lez-Piéton",50.49706,4.325126
8871381,"Godarville",50.4928,4.29031
8871415,"Piéton",50.43496,4.28844
8871514,"Forchies",50.43331,4.325381
8871605,"Erquelinnes",50.30419,4.11356
8871647,"Erquelinnes-Village",50.31018,4.13231
8871662,"Solre-sur-Sambre",50.31264,4.15843
8871670,"Labuissière",50.31633,4.186832
8871688,"Fontaine Valmont",50.32117,4.212787
8871712,"Lobbes",50.34647,4.260957
8871811,"Thuin",50.34274,4.28891
8871829,"Hourpes",50.36369,4.30874
8871837,"Landelies",50.37731,4.35098
8871852,"Marchienne-Zone",50.39747,4.388764
8872009,"Charleroi-Central",50.40471,4.43857
8872066,"Charleroi-Ouest",50.41095,4.436652
8872306,"Lodelinsart",50.43245,4.46295
8872413,"Fleurus",50.48192,4.543746
8872520,"Ligny",50.51173,4.566134
8872553,"Tilly",50.55808,4.552674
8872579,"Villers-la-Ville",50.5781,4.533348
8872587,"La Roche (brabant)",50.61034,4.53916
8872611,"Faux",50.62183,4.54926
8873007,"Walcourt",50.25922,4.435877
8873122,"Philippeville",50.19164,4.53596
8873239,"Yves-Gomezée",50.23698,4.500404
8873312,"Pry",50.26928,4.428807
8873320,"Berzée",50.2856,4.405909
8873379,"Cour-sur-Heure",50.30014,4.391492
8873387,"Ham-sur-Heure",50.31956,4.404698
8874005,"Châtelet",50.4101,4.52186
8874054,"Couillet",50.39272,4.468512
8874559,"Le Campinaire",50.42383,4.542787
8874567,"Farciennes",50.42915,4.55265
8874583,"Aiseau",50.42953,4.58455
8874609,"Tamines",50.43223,4.608824
8874716,"Auvelais",50.4492,4.630534
8874724,"Jemeppe-sur-Sambre",50.45095,4.66263
8875002,"Mariembourg",50.09549,4.52569
8875127,"Couvin",50.05632,4.4917
8879004,"ERQUELINNES-FRONTIERE",50.30233,4.107929
8881000,"Mons",50.45386,3.942542
8881125,"Ghlin",50.48741,3.90634
8881158,"Erbisoeul",50.50702,3.887991
8881166,"Jurbise",50.5305,3.91069
8881174,"Masnuy-Saint-Pierre",50.53655,3.96214
8881190,"Lens",50.55934,3.903226
8881315,"Nimy",50.47164,3.956093
8881406,"Obourg",50.46988,4.007808
8881430,"Havré",50.47075,4.059987
8881455,"Thieu",50.46954,4.09852
8881463,"Bracquegnies",50.47446,4.126349
8881505,"Quévy",50.34153,3.909489
8881562,"Genly",50.39064,3.91164
